topology,D_m,L_m,spacing_D,H_kN,cycles,soil_k,eta_g,u_fem_anchor_mm,u_stress_mm,utilization,feasible,Vc_m3,Lt_m,Ac_m2,C_raw,C_norm,selected_candidate,candidate_id
2x2,0.90,18.0,4.0,100.0,100000,24800.593100,,4.829,7.246723,0.241557,yes,45.804421,72.000000,20.250000,48091.198294,48.091198,no,2x2_D0.90_L18_s4.0D
2x2,0.90,18.0,4.5,100.0,100000,24800.593100,,4.829,6.986128,0.232871,yes,45.804421,72.000000,24.502500,48495.185794,48.495186,no,2x2_D0.90_L18_s4.5D
2x2,0.90,20.0,2.5,100.0,100000,26364.246150,,4.829,8.586054,0.286202,yes,50.893801,80.000000,9.922500,52239.802271,52.239802,no,2x2_D0.90_L20_s2.5D
2x2,0.90,20.0,3.0,100.0,100000,26364.246150,,4.829,7.792068,0.259736,yes,50.893801,80.000000,12.960000,52528.364771,52.528365,no,2x2_D0.90_L20_s3.0D
2x2,0.90,20.0,3.5,100.0,100000,26364.246150,,4.829,7.274982,0.242499,yes,50.893801,80.000000,16.402500,52855.402271,52.855402,no,2x2_D0.90_L20_s3.5D
2x2,0.90,20.0,4.0,100.0,100000,26364.246150,,4.829,6.921921,0.230731,yes,50.893801,80.000000,20.250000,53220.914771,53.220915,no,2x2_D0.90_L20_s4.0D
2x2,0.90,20.0,4.5,100.0,100000,26364.246150,,4.829,6.673007,0.222434,yes,50.893801,80.000000,24.502500,53624.902271,53.624902,no,2x2_D0.90_L20_s4.5D
2x2,1.05,8.0,2.5,100.0,100000,15648.900359,,4.829,3.433364,0.114445,yes,27.708847,32.000000,13.505625,27535.935195,27.535935,no,2x2_D1.05_L8_s2.5D
2x2,1.05,8.0,3.0,100.0,100000,15648.900359,,4.829,3.115867,0.103862,yes,27.708847,32.000000,17.640000,27928.700820,27.928701,no,2x2_D1.05_L8_s3.0D
2x2,1.05,8.0,3.5,100.0,100000,15648.900359,,4.829,2.909096,0.096970,yes,27.708847,32.000000,22.325625,28373.835195,28.373835,no,2x2_D1.05_L8_s3.5D
2x2,1.05,8.0,4.0,100.0,100000,15648.900359,,4.829,2.767916,0.092264,yes,27.708847,32.000000,27.562500,28871.338320,28.871338,no,2x2_D1.05_L8_s4.0D
2x2,1.05,8.0,4.5,100.0,100000,15648.900359,,4.829,2.668380,0.088946,yes,27.708847,32.000000,33.350625,29421.210195,29.421210,no,2x2_D1.05_L8_s4.5D
2x2,1.05,10.0,2.5,100.0,100000,17370.730231,,4.829,6.705789,0.223526,yes,34.636059,40.000000,13.505625,34099.160400,34.099160,no,2x2_D1.05_L10_s2.5D
2x2,1.05,10.0,3.0,100.0,100000,17370.730231,,4.829,6.085678,0.202856,yes,34.636059,40.000000,17.640000,34491.926025,34.491926,no,2x2_D1.05_L10_s3.0D
2x2,1.05,10.0,3.5,100.0,100000,17370.730231,,4.829,5.681829,0.189394,yes,34.636059,40.000000,22.325625,34937.060400,34.937060,no,2x2_D1.05_L10_s3.5D
2x2,1.05,10.0,4.0,100.0,100000,17370.730231,,4.829,5.406085,0.180203,yes,34.636059,40.000000,27.562500,35434.563525,35.434564,no,2x2_D1.05_L10_s4.0D
2x2,1.05,10.0,4.5,100.0,100000,17370.730231,,4.829,5.211680,0.173723,yes,34.636059,40.000000,33.350625,35984.435400,35.984435,no,2x2_D1.05_L10_s4.5D
2x2,1.05,12.0,2.5,100.0,100000,19199.698429,,4.829,8.316249,0.277208,yes,41.563271,48.000000,13.505625,40662.385604,40.662386,no,2x2_D1.05_L12_s2.5D
2x2,1.05,12.0,3.0,100.0,100000,19199.698429,,4.829,7.547213,0.251574,yes,41.563271,48.000000,17.640000,41055.151229,41.055151,no,2x2_D1.05_L12_s3.0D
2x2,1.05,12.0,3.5,100.0,100000,19199.698429,,4.829,7.046375,0.234879,yes,41.563271,48.000000,22.325625,41500.285604,41.500286,no,2x2_D1.05_L12_s3.5D
2x2,1.05,12.0,4.0,100.0,100000,19199.698429,,4.829,6.704409,0.223480,yes,41.563271,48.000000,27.562500,41997.788729,41.997789,no,2x2_D1.05_L12_s4.0D
2x2,1.05,12.0,4.5,100.0,100000,19199.698429,,4.829,6.463316,0.215444,yes,41.563271,48.000000,33.350625,42547.660604,42.547661,no,2x2_D1.05_L12_s4.5D
2x2,1.05,14.0,2.5,100.0,100000,21224.958870,,4.829,7.713707,0.257124,yes,48.490483,56.000000,13.505625,47225.610809,47.225611,no,2x2_D1.05_L14_s2.5D
2x2,1.05,14.0,3.0,100.0,100000,21224.958870,,4.829,7.000390,0.233346,yes,48.490483,56.000000,17.640000,47618.376434,47.618376,no,2x2_D1.05_L14_s3.0D
2x2,1.05,14.0,3.5,100.0,100000,21224.958870,,4.829,6.535840,0.217861,yes,48.490483,56.000000,22.325625,48063.510809,48.063511,no,2x2_D1.05_L14_s3.5D
2x2,1.05,14.0,4.0,100.0,100000,21224.958870,,4.829,6.218651,0.207288,yes,48.490483,56.000000,27.562500,48561.013934,48.561014,no,2x2_D1.05_L14_s4.0D
2x2,1.05,14.0,4.5,100.0,100000,21224.958870,,4.829,5.995026,0.199834,yes,48.490483,56.000000,33.350625,49110.885809,49.110886,no,2x2_D1.05_L14_s4.5D
2x2,1.05,16.0,2.5,100.0,100000,23090.714279,,4.829,7.241362,0.241379,yes,55.417694,64.000000,13.505625,53788.836014,53.788836,no,2x2_D1.05_L16_s2.5D
2x2,1.05,16.0,3.0,100.0,100000,23090.714279,,4.829,6.571725,0.219057,yes,55.417694,64.000000,17.640000,54181.601639,54.181602,no,2x2_D1.05_L16_s3.0D
2x2,1.05,16.0,3.5,100.0,100000,23090.714279,,4.829,6.135621,0.204521,yes,55.417694,64.000000,22.325625,54626.736014,54.626736,no,2x2_D1.05_L16_s3.5D
2x2,1.05,16.0,4.0,100.0,100000,23090.714279,,4.829,5.837855,0.194595,yes,55.417694,64.000000,27.562500,55124.239139,55.124239,no,2x2_D1.05_L16_s4.0D
2x2,1.05,16.0,4.5,100.0,100000,23090.714279,,4.829,5.627923,0.187597,yes,55.417694,64.000000,33.350625,55674.111014,55.674111,no,2x2_D1.05_L16_s4.5D
2x2,1.05,18.0,2.5,100.0,100000,24800.593100,,4.829,6.863596,0.228787,yes,62.344906,72.000000,13.505625,60352.061219,60.352061,no,2x2_D1.05_L18_s2.5D
2x2,1.05,18.0,3.0,100.0,100000,24800.593100,,4.829,6.228893,0.207630,yes,62.344906,72.000000,17.640000,60744.826844,60.744827,no,2x2_D1.05_L18_s3.0D
2x2,1.05,18.0,3.5,100.0,100000,24800.593100,,4.829,5.815539,0.193851,yes,62.344906,72.000000,22.325625,61189.961219,61.189961,no,2x2_D1.05_L18_s3.5D
2x2,1.05,18.0,4.0,100.0,100000,24800.593100,,4.829,5.533307,0.184444,yes,62.344906,72.000000,27.562500,61687.464344,61.687464,no,2x2_D1.05_L18_s4.0D
2x2,1.05,18.0,4.5,100.0,100000,24800.593100,,4.829,5.334327,0.177811,yes,62.344906,72.000000,33.350625,62237.336219,62.237336,no,2x2_D1.05_L18_s4.5D
2x2,1.05,20.0,2.5,100.0,100000,26364.246150,,4.829,6.555967,0.218532,yes,69.272118,80.000000,13.505625,66915.286424,66.915286,no,2x2_D1.05_L20_s2.5D
2x2,1.05,20.0,3.0,100.0,100000,26364.246150,,4.829,5.949711,0.198324,yes,69.272118,80.000000,17.640000,67308.052049,67.308052,no,2x2_D1.05_L20_s3.0D
2x2,1.05,20.0,3.5,100.0,100000,26364.246150,,4.829,5.554885,0.185163,yes,69.272118,80.000000,22.325625,67753.186424,67.753186,no,2x2_D1.05_L20_s3.5D
2x2,1.05,20.0,4.0,100.0,100000,26364.246150,,4.829,5.285302,0.176177,yes,69.272118,80.000000,27.562500,68250.689549,68.250690,no,2x2_D1.05_L20_s4.0D
2x2,1.05,20.0,4.5,100.0,100000,26364.246150,,4.829,5.095240,0.169841,yes,69.272118,80.000000,33.350625,68800.561424,68.800561,no,2x2_D1.05_L20_s4.5D
2x2,1.20,8.0,2.5,100.0,100000,15648.900359,,4.829,2.012575,0.067086,yes,36.191147,32.000000,17.640000,34544.894948,34.544895,no,2x2_D1.20_L8_s2.5D
2x2,1.20,8.0,3.0,100.0,100000,15648.900359,,4.829,1.826464,0.060882,yes,36.191147,32.000000,23.040000,35057.894948,35.057895,no,2x2_D1.20_L8_s3.0D
2x2,1.20,8.0,3.5,100.0,100000,15648.900359,,4.829,1.705259,0.056842,yes,36.191147,32.000000,29.160000,35639.294948,35.639295,no,2x2_D1.20_L8_s3.5D
2x2,1.20,8.0,4.0,100.0,100000,15648.900359,,4.829,1.622501,0.054083,yes,36.191147,32.000000,36.000000,36289.094948,36.289095,no,2x2_D1.20_L8_s4.0D
